,0
dia biasa,1
biasa galak,1
galak tuh,1
tuh komentar,1
dia harus,1
harus research,1
research dulu,1
dulu sblm,1
sblm komentar,1
komentar gmn,1
gmn ada,1
makansianggratis inicb,1
inicb dulu,1
dulu makananya,1
makananya gmn,1
gmn dan,1
dan br,1
br bisa,1
bisa beri,1
beri arah,1
arah ke,2
ke anak2,1
anak2 lainnyakrn,1
lainnyakrn anggar,1
anggar yang,2
yang keluar,1
keluar gasedikit,1
gasedikit untuk,1
untuk ini,1
ini jd,1
jd wajar,1
wajar jg,1
jg kita,1
kita kritisi,1
kritisi soal,1
soal ini,2
ini krn,1
krn fokus,1
fokus jguntuk,1
jguntuk kurang,1
kurang angka,1
angka stunting,1
jika perintah,1
perintah nekat,1
nekat guna,1
guna uang,1
uang zakat,1
zakat yang,1
yang kelola,1
kelola baznas,1
baznas terus,1
terus yang,1
yang ber,1
ber zakat,1
zakat tdk,1
tdk ridho,1
ridho uang,1
uang guna,1
guna utk,1
utk mbgboro,1
mbgboro boro,1
boro generasi,1
generasi muda,1
muda yang,1
yang sehat,1
sehat dan,1
dan gizi,1
yang di,2
di dpt,1
dpt malah,1
malah sebaliknyahati,1
sebaliknyahati hati,1
hati klian,1
oleh karena,1
karena mbg,2
mbg sedang,1
sedang masalah,1
masalah serta,1
serta sarat,1
sarat dengan,1
dengan prokontra,1
prokontra maka,1
maka putus,1
putus untuk,1
untuk nendapat,1
nendapat awal,1
awal yang,1
yang ketat,1
usulin saja,1
saja semua,1
semua bosque,1
bosque masuk,1
masuk tunjangan2,1
tunjangan2 lekat,1
lekat itu,1
itu sumbangin,1
sumbangin saja,1
saja dulu,1
dulu yekan,1
yekan kalian,1
kalian kalau,1
kalau carmuk,1
carmuk yang,1
yang total,1
total gitu,1
gitu enggak,1
enggak terima,1
terima gaji,1
gaji lama,1
lama mbg,1
mbg masih,1
banyak komplain,1
komplain berani,1
berani tak,1
tak ahsudahlah,1
ormas yang,1
yang itu,2
itu sibuk,1
sibuk kawal,1
kawal makanbergizigratis,1
kurang jatah,1
jatah makansianggratis,1
jangan sampe,1
sampe gw,1
gw punya,1
punya anak,1
anak di,1
di era,1
era makansianggratis,1
makansianggratis gk,1
gk bayang,1
bayang kalau,1
kalau tbtb,1
tbtb dapet,1
dapet kabar,1
kabar ibuk,1
ibuk anak,1
anak racun,1
racun program,1
program maksi,1
maksi gratis,1
gratis skrg,1
skrg lari,1
lari ke,1
ke ugd,1
ugd lgsg,1
lgsg gw,1
gw bakar,1
bakar itu,1
itu kantor,1
kantor pr3sid3n,1
pr3sid3n ama,1
ama gedung,1
gedung dpr,1
wooiii ketua,1
ketua dpd,1
dpd kau,1
kau minta,1
minta rakyat,1
rakyat bantu,1
bantu mbg,2
mbg sdngkan,1
sdngkan kau,1
kau sndri,1
sndri bantu,1
bantu apa,1
apa sama,1
sama rakyatkau,1
rakyatkau duluanlah,1
duluanlah yang,1
yang bantu,1
mbg dg,1
dg uang,1
uang tunjangan2spj2,1
tunjangan2spj2 yang,1
yang nggk,1
nggk jlas,1
jlas kmn,1
kmn nguapnyazzz,1
hello yang,1
yang dulu,1
dulu janji,1
janji mbg,1
yang janji,1
janji siapa,1
yang ribet,1
ribet siapa,1
dagu dia,1
dia ke,1
ke nampan,1
nampan mbg,1
nama program,3
saja mbg,1
mbg makanbergizigratis,2
makanbergizigratis ber,1
ber gi,1
gi zi,1
zi kalau,1
kalau makan,1
makan saja,1
saja basi,1
basi mana,1
mana bisa,1
bisa gizi,1
yang ada,1
ada itu,1
itu bocah,1
bocah bocah,1
bocah sekolah,1
sekolah pada,1
pada masuk,1
masuk rs,1
ituu yang,1
yang ngometarin,1
ngometarin makansianggratis,1
makansianggratis ituloh,1
ituloh wkwk,1
wkwk likesnya,1
likesnya mo,1
mo nyampe,1
nyampe ribu,1
ribu ahaha,1
mbg janji,1
janji program,1
program calon,1
calon presiden,1
presiden prabowo,1
prabowo pada,1
pada saat,2
saat kampanye,1
kampanye program,1
program yang,3
yang akan,1
akan jadi,1
jadi bumerang,1
bumerang karena,1
karena tidak,1
ada anggar,1
kok rambah,1
rambah mana,1
mana mana,1
mana jangan,1
jangan jangan,1
jangan perlu,1
perlu di,1
di evaluasi,3
evaluasi mbg,1
nya biar,1
biar ngga,1
ngga lihat,1
lihat asal,1
asal asal,1
kurus ya,1
ya ikut,1
ikut makansianggratis,1
makansianggratis saja,3
saja sana,2
lewat potong,1
potong anggar,1
anggar mbg,3
mbg hari,1
hari bisa,1
bisa dapat,1
dapat rp,1
rp 150200,1
150200 juta,1
juta bulan,1
bulan sudah,1
sudah brp,1
brp tahun,1
tahun sudah,1
sudah berapa,1
berapa walikota,1
walikota bupati,1
bupati gemuk,1
gemuk rakyat,1
rakyat kurus,1
kurus dan,1
dan racun,1
akibat mahasiswa,1
mahasiswa enggak,1
enggak dapet,3
dapet mbg,1
mbg dari,1
dari prabowo,1
saya yakin,1
yakin telah,1
telah ini,1
ini tidak,1
tidak akan,1
akan ada,2
ada anak,2
anak lagi,1
lagi yang,1
yang berani,1
berani suara,1
suara keluar,1
keluar dapat,1
dapat soal,1
soal makanbergizigratiskarena,1
makanbergizigratiskarena apakarena,1
apakarena sudah,1
sudah bungkam,1
bungkam botak,1
botak botak,1
ya duit,1
duit pegawe,1
pegawe pemda,1
pemda sunat,1
sunat buat,1
buat borek,1
borek mbg,1
mbg tapi,1
tapi yang,1
enggak gratis,1
kang sayur,1
sayur libur,1
libur besok,1
besok enggak,1
enggak ada,5
ada masak,1
masak untuk,1
untuk mbg,3
makansianggratis itu,2
itu benar,1
benar bagus,1
bagus cuman,1
cuman karna,1
karna ini,1
ini di,1
di indon,1
indon program,1
ini bakal,1
bakal jadi,1
jadi ladang,1
ladang yang,1
yang basah,1
basah sebasah,1
sebasah basah,1
basah buat,1
buat korup,1
korup seluruh,1
seluruh hal,1
hal yang,3
yang konsep,1
konsep tuju,1
tuju bagus,1
bagus begitu,1
begitu masuk,1
masuk indon,1
indon langsung,1
langsung zhammmmmm,1
zhammmmmm ken,1
ken si,1
si pake,1
pake g,1
g nanti,1
nanti kena,1
kena ite,1
ite tapi,1
bandingin mknan,1
mknan box,1
box kru,1
kru film,1
film dengan,1
dengan menu,4
mbg beda,1
beda harga,1
harga bandingin,1
anak dengan,1
dengan anak,1
anak sd,2
sd beda,1
beda umur,1
umur dia,1
dia hanya,1
hanya urus,1
urus anak,1
anak program,1
mbg urus,1
urus ribu,1
ribu anak,1
anak beda,1
beda jumlah,1
wifi rumah,1
rumah henti,1
henti ngadat,1
ngadat hari,1
hari saja,1
saja kayak,1
kayak program,1
program kerja,1
kerja makansianggratis,1
makansianggratis bisa,1
bisa ikut,1
ikut henti,1
kumpulin semua,1
semua koruptor,1
