,0
baik lebih,2
lebih mutu,2
mutu lebih,2
enak lebih,2
lebih sehat,2
sehat gizi,2
gizi bukan,2
bukan kritik,2
kritik komplain,2
komplain kurang,2
kurang mensyukuritdk,2
mensyukuritdk syukur,2
syukur dengan,2
mbg ingat,2
ingat puluh,2
puluh juta,2
juta rakyat,2
rakyat enggak,2
enggak duli,2
duli dengan,2
dengan rasa,2
rasa menu,2
makan mrk,2
mrk butuh,2
butuh makan,2
penting makan,2
mantap banget,6
banget program,4
makanbergizigratis dan,14
dan rumah,14
rumah emang,8
emang bikin,2
bikin sejahtera,2
sejahtera rakyat,2
rakyat tingkat,2
kalau mahasiswa,2
mahasiswa nggak,2
nggak dapat,2
makansianggratis aku,2
aku lebih,2
lebih pilih,2
pilih ini,2
ini sih,2
sih tiap,2
tiap hamil,2
hamil aura,2
aura cantikcantik,2
anabul ku,2
ku yang,2
yang hari,2
hari makan,2
makan lebih,2
lebih dr,2
dr 10k,2
10k ketawa,2
ketawa liat,2
liat program,2
mbg nice,2
nice woooo,2
woooo program,2
mbg dan,4
emang keren,2
keren banget,4
banget buat,2
buat ngentaskan,2
ngentaskan miskin,2
samasama semangat,2
semangat terus,2
terus dalam,2
dalam cepat,2
cepat entas,2
entas miskin,8
miskin lalu,2
lalu sinergi,2
sinergi yang,4
yang baik,2
baik antara,2
antara program,4
mbg amp,2
amp program,2
program per,2
before i,2
i sleep,2
sleep kook,2
kook bisa,2
bisa yaa,2
yaa anak,2
anak dari,2
dari dpr,2
dpr once,2
once again,2
again dpr,2
dpr ikut,2
ikut komen,2
komen mbg,2
mbg dengan,2
dengan statement,2
statement harus,2
harus syukur,2
syukur walaupun,2
walaupun enggak,2
enggak suka,2
suka sama,2
makan broo,2
broo wtf,2
wtf u,2
u can,2
can see,2
see the,2
the fckn,2
fckn meal,2
meal box,2
box dude,2
dude how,2
how tragically,2
tragically the,2
the food,2
food istheres,2
istheres nothing,2
nothing nutrition,2
nutrition on,2
on that,2
malem2 masih,2
masih pikir,2
pikir sm,2
sm korelasi,2
korelasi menu,2
mbg nasi,2
nasi kotak,2
kotak di,2
di lokasi,2
lokasi syuting,2
syuting dan,2
dan konsep,2
konsep syukur,2
syukur kenapa,2
kenapa standar,2
standar jadi,2
jadi harus,2
harus ngikutin,2
ngikutin anak,2
anak sm,2
sm bini,2
bini elu,2
elu sih,2
sih ini,2
ini kalau,2
kalau sampai,2
sampai enggak,2
enggak dipake,2
dipake jadi,2
jadi materi,2
materi di,2
di somasi,2
somasi minggu,2
minggu depan,2
depan sayang,2
sayang bgt,2
bgt sih,2
sih wkwk,2
mbg rumah,2
rumah mantap,2
mantap dan,2
dan bptaskin,2
bptaskin juga,2
juga keren,2
keren buat,2
buat entas,4
miskin sinergi,2
yang oke,4
oke abis,2
abis nih,2
dan program,4
program rumah,4
emang jd,4
jd solusi,2
solusi yang,2
oke buat,2
rumah bikin,2
bikin kita,2
kita makin,2
makin kembang,2
rumah beri,2
beri fasilitas,2
fasilitas yang,2
yang dukung,2
dukung tapi,2
tapi bptaskin,2
bptaskin jg,2
jg penting,2
untuk entas,2
makansianggratis bisa,2
dampak besar,2
besar pada,2
pada kualitas,2
kualitas hidup,2
hidup dan,2
didik anakanak,2
anakanak kurang,2
mampu penting,2
penting asupan,2
asupan gizi,2
gizi cukup,2
cukup tak,2
tak bisa,2
bisa remeh,2
remeh implementasi,2
implementasi tepat,2
tepat perlu,2
perlu agar,2
agar manfaat,2
manfaat benarbenar,2
benarbenar capai,2
capai tuju,2
tuju jika,2
jika program,2
ini solusi,2
solusi jangka,2
jangka panjang,2
banget sinergi,2
sinergi antara,2
rumah serta,2
serta bptaskin,2
bptaskin pasti,2
pasti bakal,2
bakal bikin,2
bikin miskin,2
miskin ilang,2
ilang lebih,2
lebih cepet,2
rumah pasti,2
pasti bikin,2
bikin banyak,2
banyak orang,2
orang senang,2
bahkan 10,2
ribu ini,2
lebih nikmat,2
nikmat daripada,2
daripada makansianggratis,2
dengan anggar,2
anggar yang,2
yang sama,2
sama kata,2
rumah top,2
top markotop,2
markotop juga,2
juga mantap,2
mantap sinergi,2
sinergi bikin,2
bikin target,2
target program,2
program capai,2
capai cepet,2
cepet keren,2
jd pulling,2
pulling factors,2
factors yang,2
yang bikin,2
bikin masyarakat,2
masyarakat makin,2
makin maju,2
seru banget,2
banget awal,2
awal tahun,2
tahun udah,2
udah ribut,2
ribut soal,2
makansianggratis wkwkwkwk,2
wkwkwkwk kita,2
kita masih,2
masih bakal,2
bakal ngeliat,2
ngeliat lucu,2
lucu ini,2
ini sampe,2
sampe 2029,2
2029 letsgoooo,2
mu kandascinta,2
kandascinta kandas,2
kandas double,2
double gin,2
gin maksud,2
maksud apacokketimpa,2
apacokketimpa rezeki,2
rezeki 71,2
71 triliun,2
triliun tara,2
tara mbg,2
mbg kali,2
kali amin,2
di its,2
its pas,2
pas ramadhan,2
ramadhan puasa,2
puasa full,2
full bulan,2
bulan gausa,2
gausa ngluarin,2
ngluarin uang,2
uang peser,2
peser buat,2
buat makan,2
makan krna,2
krna di,2
di manarul,2
manarul sahurbuka,2
sahurbuka ikaits,2
ikaits buka,2
buka dpt,2
dpt mam,4
mam gratis,4
gratis enaq,2
enaq blm,2
blm lagi,2
lagi banyak,2
banyak yang,2
yang kasi,2
kasi takjil,2
takjil gratis,2
gratis trs,2
trs hunting,2
hunting ke,2
ke masjid,2
masjid di,2
di pakuwon,2
pakuwon dpt,2
gratis lgi,2
lgi makan,2
makan gakan,2
gakan kek,2
kek mbg,2
mbg prabowo,2
