,id,edit_history_tweet_ids,created_at,text,author_id,text_cleaned,text_cleaned_stemmed
24,1880652889452109966,1880652889452109966,2025-01-18T16:26:04.000Z,"@TsamaraDKI Setuju program MBG, tp WAJIB TRIAL DULU DI WILAYAH 3T DAN KANTONG KEMISKINAN EKSTREM, CATET !!!!",973508080846610432, setuju program mbg tp wajib trial dulu di wilayah 3t dan kantong kemiskinan ekstrem catet ,tuju program mbg tp wajib trial dulu di wilayah 3t dan kantong miskin ekstrem catet
25,1880652873811579166,1880652873811579166,2025-01-18T16:26:00.000Z,"@DokterTifa MBG itu ""Program Pembodohan Publik"".",220260447, mbg itu program pembodohan publik,mbg itu program bodoh publik
26,1880652815066148923,1880652815066148923,2025-01-18T16:25:46.000Z,"@MurtadhaOne1 Ini anak suruh duduk di kelas kasih makan siang gratis dari pemerintah 
Terus liat gimana reaksinya",1144591956946722816, ini anak suruh duduk di kelas kasih makansianggratis dari pemerintah terus liat gimana reaksinya,ini anak suruh duduk di kelas kasih makansianggratis dari perintah terus liat gimana reaksi
27,1880652744505401635,1880652744505401635,2025-01-18T16:25:29.000Z,"Hura hara tl X ku

Pemerintah gak jelas
Peripilus stop distribusi danmei
Influencer tua bangka mancing amarah pemain otome game
Program makan siang gratis yang 
Banyak masalah

Kemudian masalah hidupku hadeh",1774114349935984640,hura hara tl x ku pemerintah enggak jelas peripilus stop distribusi danmei influencer tua bangka mancing amarah pemain otome game program makansianggratis yang banyak masalah kemudian masalah hidupku hadeh,hura hara tl x ku perintah enggak jelas peripilus stop distribusi danmei influencer tua bangka mancing amarah main otome game program makansianggratis yang banyak masalah kemudian masalah hidup hadeh
28,1880652562648670665,1880652562648670665,2025-01-18T16:24:46.000Z,"Pj gubernur meninjau MBG
https://t.co/shUqtYahtL",66585050,pj gubernur meninjau mbg,pj gubernur tinjau mbg
29,1880652482671714310,1880652482671714310,2025-01-18T16:24:27.000Z,"Selain memastikan anak-anak mendapatkan asupan bergizi, MBG juga membantu menjaga anak-anak tetap bersekolah karena dapat mengurangi beban ekonomi keluarga, terutama bagi yang kesulitan menyediakan makan tiga 3x sehari untuk anak-anaknya.

Ini yang paling tolol menurut gue..",1826886526657318912,selain memastikan anakanak mendapatkan asupan bergizi mbg juga membantu menjaga anakanak tetap bersekolah karena dapat mengurangi beban ekonomi keluarga terutama bagi yang kesulitan menyediakan makan tiga 3x sehari untuk anakanaknya ini yang paling tolol menurut gue,selain pasti anakanak dapat asupan gizi mbg juga bantu jaga anakanak tetap sekolah karena dapat kurang beban ekonomi keluarga utama bagi yang sulit sedia makan tiga 3x hari untuk anakanaknya ini yang paling tolol turut gue
30,1880652379328311633,1880652379328311633,2025-01-18T16:24:02.000Z,"Note: Gue masih pelajar dan gak dapat makan siang gratis, tapi dengan uang 10 ribu yang gue punya, gue bisa beli makan siang di kantin sekolah yang enak, porsinya cukup, gak basi, dan pastinya gak bikin keracunan",1579001888913047552,note gue masih pelajar dan enggak dapat makansianggratis tapi dengan uang 10 ribu yang gue punya gue bisa beli makan siang di kantin sekolah yang enak porsinya cukup enggak basi dan pastinya enggak bikin keracunan,note gue masih ajar dan enggak dapat makansianggratis tapi dengan uang 10 ribu yang gue punya gue bisa beli makan siang di kantin sekolah yang enak porsi cukup enggak basi dan pasti enggak bikin racun
31,1880652324449980927,1880652324449980927,2025-01-18T16:23:49.000Z,@DokterTifa MBG itu program gak masuk akal.,108255807, mbg itu program enggak masuk akal,mbg itu program enggak masuk akal
32,1880652207588290818,1880652207588290818,2025-01-18T16:23:21.000Z,"Kata gue buat lo upper class yg bahkan anak lo ga kena program makan siang gratis, lo diem ga usah banyak bacot. Ya allah im so doomed living in this country",1389988496157274119,kata gue buat lo upper class yang bahkan anak lo enggak kena program makansianggratis lo diem enggak usah banyak bacot ya allah im so doomed living in this country,kata gue buat lo upper class yang bahkan anak lo enggak kena program makansianggratis lo diem enggak usah banyak bacot ya allah im so doomed living in this country
33,1880652081398480992,1880652081398480992,2025-01-18T16:22:51.000Z,"Kalau mau lihat siapa yang paling untung dari program ini, lihat yang ga kritik atau ngatain ini. Siapapun yang masih klarifikasi atau ngatain ini, dia masih di spektrum tengah dalam isu MBG ini.",2368797529,kalau mau lihat siapa yang paling untung dari program ini lihat yang enggak kritik atau ngatain ini siapapun yang masih klarifikasi atau ngatain ini dia masih di spektrum tengah dalam isu mbg ini,kalau mau lihat siapa yang paling untung dari program ini lihat yang enggak kritik atau ngatain ini siapa yang masih klarifikasi atau ngatain ini dia masih di spektrum tengah dalam isu mbg ini
34,1880652076814070156,1880652076814070156,2025-01-18T16:22:50.000Z,"4. Kajian akademiknya maksa banget
5. Membebani anggaran pusat dan daerah. Harusnya ada pos yang urgent dibangun atau dilaksanakan malah dipinggirkan dulu agar MBG ini terlaksana. Dasarnya di nasional 10k per anak, terus daerah (utamanya luar Jawa) harus nombok lagi.",2368797529,4 kajian akademiknya maksa banget 5 membebani anggaran pusat dan daerah harusnya ada pos yang urgent dibangun atau dilaksanakan malah dipinggirkan dulu agar mbg ini terlaksana dasarnya di nasional 10k per anak terus daerah utamanya luar jawa harus nombok lagi,4 kaji akademik maksa banget 5 beban anggar pusat dan daerah harus ada pos yang urgent bangun atau laksana malah pinggir dulu agar mbg ini laksana dasar di nasional 10k per anak terus daerah utama luar jawa harus nombok lagi
35,1880652074263904357,1880652074263904357,2025-01-18T16:22:49.000Z,"Menurutku MBG jelas ga memberikan manfaat apa-apa:
1. Bukan solusi utama penyelesaian masalah stunting
2. Orang yang terlibat dalam proyek ini hanya itu-itu aja. Contoh, di daerah itu tendernya dimenangkan orangnya pemimpin lokal.
3. Praktik MBG ini ga efisien dari segala sisi~ https://t.co/yvTd1HxedP",2368797529,menurutku mbg jelas enggak memberikan manfaat apaapa 1 bukan solusi utama penyelesaian masalah stunting 2 orang yang terlibat dalam proyek ini hanya ituitu aja contoh di daerah itu tendernya dimenangkan orangnya pemimpin lokal 3 praktik mbg ini enggak efisien dari segala sisi,turut mbg jelas enggak beri manfaat apaapa 1 bukan solusi utama selesai masalah stunting 2 orang yang libat dalam proyek ini hanya ituitu aja contoh di daerah itu tender menang orang pimpin lokal 3 praktik mbg ini enggak efisien dari segala sisi
36,1880651965023318516,1880651965023318516,2025-01-18T16:22:23.000Z,"Ada buzzer pemerintah yang digaji pakai uang Pajak rakyat menjelaskan soal Makan Bergizi Gratis..

Tak komentar sedikit ya..",1826886526657318912,ada buzzer pemerintah yang digaji pakai uang pajak rakyat menjelaskan soal makanbergizigratis tak komentar sedikit ya,ada buzzer perintah yang gaji pakai uang pajak rakyat jelas soal makanbergizigratis tak komentar sedikit ya
37,1880651852402114564,1880651852402114564,2025-01-18T16:21:57.000Z,"MBG memang bukan sumbangan, itu uang negara, uang rakyat... https://t.co/OoZ7idAepM",1290261485009006595,mbg memang bukan sumbangan itu uang negara uang rakyat,mbg memang bukan sumbang itu uang negara uang rakyat
38,1880651808999432208,1880651808999432208,2025-01-18T16:21:46.000Z,@kompascom Inilah namanya timpang tindih birokrasi yang numpang eksis yang punya peranan tertindih harusnya BP POM paling depan mengawal makan bergizi gratis,1718636607216185344, inilah namanya timpang tindih birokrasi yang numpang eksis yang punya peranan tertindih harusnya bp pom paling depan mengawal makanbergizigratis,ini nama timpang tindih birokrasi yang numpang eks yang punya peran tindih harus bp pom paling depan awal makanbergizigratis
